jung,result
Kha'Zix,0
Rek'Sai,0
Elise,0
Hecarim,0
Rek'Sai,0
Kayn,0
Kha'Zix,0
Taliyah,0
Nidalee,0
Rek'Sai,0
Lee Sin,1
Sejuani,0
Elise,0
Lee Sin,0
Sejuani,0
Xin Zhao,1
Karthus,1
Olaf,1
Sejuani,1
Sejuani,1
Nidalee,0
Sejuani,0
Lee Sin,1
Gragas,1
Lee Sin,1
Elise,0
Gragas,1
Elise,0
Elise,0
Lee Sin,1
Lee Sin,0
Sejuani,0
Karthus,0
Nidalee,1
Aatrox,0
Aatrox,0
Kayn,0
Lee Sin,1
Xin Zhao,0
Lee Sin,1
Sejuani,0
Nidalee,1
Karthus,0
Gragas,0
Rek'Sai,0
Rek'Sai,0
Gragas,0
Sejuani,0
Taliyah,0
Taliyah,0
Nidalee,0
Sejuani,0
Kindred,0
Nidalee,0
Olaf,0
Xin Zhao,0
Xin Zhao,1
Sejuani,0
Lee Sin,0
Sejuani,0
Nidalee,0
Sejuani,0
Gragas,0
Sejuani,0
Rek'Sai,0
Kayn,1
Taliyah,1
Elise,1
Aatrox,1
Evelynn,1
Taliyah,0
Olaf,0
Lee Sin,0
Taliyah,0
Taliyah,0
Hecarim,0
Taliyah,0
Zac,0
Taliyah,0
Elise,0
Sejuani,0
Karthus,1
Sejuani,1
Olaf,0
Rek'Sai,0
Kindred,0
Elise,0
Kindred,0
Olaf,0
Fiddlesticks,0
Lee Sin,0
Xin Zhao,0
Kha'Zix,1
Kayn,1
Rek'Sai,0
Olaf,0
Rek'Sai,0
Nocturne,0
Fiddlesticks,0
Rek'Sai,0
Elise,0
Rengar,0
Nocturne,0
Lee Sin,0
Elise,0
Xin Zhao,0
Kha'Zix,0
Kha'Zix,1
Kha'Zix,0
Nidalee,1
Elise,1
Elise,0
Olaf,0
Olaf,0
Hecarim,1
Xin Zhao,0
Sejuani,1
Elise,0
Xin Zhao,0
Hecarim,1
Lee Sin,0
Elise,0
Olaf,0
Karthus,1
Elise,0
Elise,0
Rengar,0
Jax,0
Nunu & Willump,0
Shaco,0
Nunu & Willump,0
Hecarim,1
Sejuani,0
Gragas,0
Sejuani,1
Hecarim,1
Taliyah,0
Hecarim,0
Lee Sin,0
Rammus,1
Gragas,0
Hecarim,0
Amumu,1
Hecarim,1
Sejuani,1
Kayn,1
Nidalee,0
Lee Sin,0
Sejuani,1
Jarvan IV,0
Lee Sin,1
Nocturne,1
Xin Zhao,1
Kayn,0
Nidalee,0
Master Yi,0
Jax,0
Karthus,0
Shaco,0
Rengar,0
Rengar,0
Hecarim,0
Taliyah,0
Lee Sin,1
Elise,0
Hecarim,0
Amumu,0
Hecarim,0
Evelynn,0
Elise,0
Nidalee,0
Jarvan IV,0
Evelynn,1
Lee Sin,0
Kha'Zix,0
Mordekaiser,1
Aatrox,1
Elise,0
Olaf,0
Rek'Sai,0
Rek'Sai,0
Hecarim,0
Sejuani,1
Mordekaiser,0
Jarvan IV,0
Ivern,1
Ivern,1
Diana,0
Karthus,0
Ekko,0
Jarvan IV,0
Evelynn,0
Hecarim,1
Warwick,0
Graves,1
Sejuani,0
Hecarim,1
Rammus,1
Elise,0
Sejuani,1
Lee Sin,1
Jarvan IV,0
Taliyah,1
Kayn,1
Taliyah,0
Sejuani,0
Taliyah,1
Elise,1
Sejuani,1
Olaf,1
Sejuani,1
Taliyah,1
Sejuani,0
Taliyah,1
Kayn,1
Nidalee,1
Kindred,1
Karthus,1
Olaf,1
Olaf,1
Taliyah,1
Elise,1
Lee Sin,1
Xin Zhao,0
Lee Sin,1
Jax,0
Lee Sin,0
Trundle,1
Taliyah,0
Gragas,0
Sejuani,0
Sejuani,1
Elise,1
Taliyah,1
Taliyah,0
Taliyah,0
Nidalee,1
Taliyah,1
Elise,1
Xin Zhao,1
Gragas,1
Karthus,1
Kayn,1
Sejuani,1
Gragas,1
Nidalee,1
Lee Sin,1
Gragas,1
Rek'Sai,1
Olaf,1
Gragas,1
Elise,0
Gragas,1
Elise,1
Kayn,1
Sejuani,0
Taliyah,1
Kindred,1
Kai'Sa,1
Kha'Zix,0
Gragas,1
Taliyah,1
Nidalee,1
Aatrox,1
Sejuani,1
Sejuani,0
Sejuani,0
Gragas,1
Nunu & Willump,1
Sejuani,1
Trundle,1
Lee Sin,0
Elise,1
Lee Sin,1
Rek'Sai,1
Nidalee,1
Elise,0
Gragas,0
Rek'Sai,1
Elise,0
Lee Sin,0
Elise,1
Evelynn,1
Kayn,0
Zac,1
Elise,1
Zac,1
Evelynn,1
Teemo,1
Hecarim,0
Master Yi,1
Vi,1
Shaco,1
Rammus,1
Kha'Zix,1
Rek'Sai,0
Hecarim,1
Rengar,1
Karthus,1
Camille,1
Xin Zhao,1
Elise,1
Elise,1
Gragas,1
Elise,1
Xin Zhao,0
Camille,0
Sejuani,1
Sejuani,1
Kha'Zix,1
Kindred,1
Sejuani,1
Gragas,0
Hecarim,1
Trundle,0
Sejuani,0
Evelynn,1
Kha'Zix,1
Sylas,1
Taliyah,1
Jarvan IV,1
Sylas,1
Neeko,0
Lee Sin,1
Twitch,1
Skarner,1
Sejuani,1
Rek'Sai,1
Nidalee,0
Nunu & Willump,1
Evelynn,1
Shaco,1
Warwick,1
Olaf,0
Master Yi,0
Taliyah,1
Sejuani,1
Mordekaiser,1
Elise,0
Taliyah,1
Trundle,0
Hecarim,0
Amumu,1
Hecarim,1
Xin Zhao,1
Evelynn,1
Nunu & Willump,1
Elise,1
Kindred,1
Sejuani,1
Taliyah,1
Vi,0
Elise,1
Sejuani,1
Gragas,1
Twitch,1
Taliyah,1
Kayn,1
Hecarim,1
Kayn,1
Hecarim,1
Rek'Sai,1
Karthus,1
Kayn,1
Xin Zhao,1
Vayne,0
Lee Sin,1
Gragas,0
Kha'Zix,1
Rek'Sai,1
Elise,1
Xin Zhao,0
Urgot,1
Elise,0
Vayne,1
Gragas,1
Sejuani,1
Hecarim,1
Kayn,1
Xin Zhao,1
Rek'Sai,1
Sejuani,1
Rek'Sai,1
Gragas,1
Jarvan IV,1
Hecarim,1
Taliyah,1
Rek'Sai,1
Elise,1
Shaco,1
Lee Sin,1
Lee Sin,1
Nidalee,1
Lee Sin,1
Olaf,1
Jarvan IV,1
Kha'Zix,1
Sejuani,0
Nidalee,1
Aatrox,0
Lee Sin,1
Lee Sin,1
Vi,1
Trundle,1
Rek'Sai,1
Aatrox,1
Elise,1
Rek'Sai,0
Elise,1
Lee Sin,1
Mordekaiser,1
Kayn,1
Taliyah,1
Sejuani,1
Vi,1
Poppy,1
Kayn,1
Rengar,1
Fiddlesticks,0
Master Yi,1
Graves,0
